"agency_type","address_city","problem","problem_count","month_response","year_response"
"Fire","SAN DIEGO","Vegetation Fire Low","5","9","2006"
"Fire","SAN DIEGO","Vehicle Fire Freeway","27","9","2006"
"Fire","SAN DIEGO","Vehicle Rescue","25","9","2006"
"Fire","SAN DIEGO","Water Removal/Flooding","3","9","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L1)","52","9","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L1)","3","9","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L1)","9","9","2006"
"Fire","SAN DIEGO","Carbon Monoxide Alarm","1","9","2006"
"Fire","SAN DIEGO","Cardiac / Respiratory Arrest","63","9","2006"
"Fire","SAN DIEGO","Choking (L1)","11","9","2006"
"Fire","SAN DIEGO","CSA Medical Aid","11","9","2006"
"Fire","SAN DIEGO","Electrocution (L1)","1","9","2006"
"Fire","SAN DIEGO","Elevator Rescue","16","9","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L3)","62","9","2006"
"Fire","SAN DIEGO","Fuel Spill","24","9","2006"
"Fire","SAN DIEGO","HazMat","6","9","2006"
"Fire","SAN DIEGO","HazMat Single  Engine","23","9","2006"
"Fire","SAN DIEGO","Headache (L1)","27","9","2006"
"Fire","SAN DIEGO","Heart Problems (L1)","84","9","2006"
"Fire","SAN DIEGO","Lift Assist","38","9","2006"
"Fire","SAN DIEGO","Miscellaneous Rescue","8","9","2006"
"Fire","SAN DIEGO","Natural Gas Leak/Odor","22","9","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L4)","4","9","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L3)","8","9","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L4)","2","9","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (PD)","3","9","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L1)","131","9","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L3)","57","9","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L4)","194","9","2006"
"Fire","SAN DIEGO","Smoke Check","39","9","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L3)","3","9","2006"
"Fire","SAN DIEGO","Traffic Accident (L1)","522","9","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L3)","64","9","2006"
"Fire","SAN DIEGO","Unattended Food lock out/in","1","9","2006"
"Fire","SAN DIEGO","Vehicle Fire 1st Alarm","1","9","2006"
"Fire","SAN DIEGO","Vehicle Fire Tanker","1","9","2006"
"Fire","SAN DIEGO","Water Rescue","1","9","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L1)","29","9","2006"
"Fire","SAN DIEGO","AID - MEDIC","16","9","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L3)","6","9","2006"
"Fire","SAN DIEGO","Assault/Rape (L3)","20","9","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L3)","12","9","2006"
"Fire","SAN DIEGO","Chest Pain (L1)","371","9","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L3)","1","9","2006"
"Fire","SAN DIEGO","EDT/XRAY","15","9","2006"
"Fire","SAN DIEGO","Headache (L4)","6","9","2006"
"Fire","SAN DIEGO","Heart Problems (L3)","2","9","2006"
"Fire","SAN DIEGO","Natural Gas Leak Lg Diam/Fire","7","9","2006"
"Fire","SAN DIEGO","Odor of Smoke","16","9","2006"
"Fire","SAN DIEGO","POISON CONTROL","1","9","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L1)","35","9","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L3)","2","9","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L4)","40","9","2006"
"Fire","SAN DIEGO","Special Service","17","9","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L1)","34","9","2006"
"Fire","SAN DIEGO","Still alarm","40","9","2006"
"Fire","SAN DIEGO","Structure Residential","22","9","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L2)","1","9","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L1)","500","9","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L4)","6","9","2006"
"Fire","SAN DIEGO","Vegetation Fire Medium","4","9","2006"
"Fire","SAN DIEGO","Vehicle Fire","36","9","2006"
"Fire","SAN DIEGO","Wires down","1","9","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L3)","139","9","2006"
"Fire","SAN DIEGO","Alert 2 - Brown/Mont","3","9","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L4)","1","9","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L3)","2","9","2006"
"Fire","SAN DIEGO","Assault/Rape (L1)","167","9","2006"
"Fire","SAN DIEGO","Assist PD","5","9","2006"
"Fire","SAN DIEGO","Breathing Problems (L1)","596","9","2006"
"Fire","SAN DIEGO","Choking (L3)","11","9","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L1)","235","9","2006"
"Fire","SAN DIEGO","Diabetic Problems (L3)","21","9","2006"
"Fire","SAN DIEGO","Drowning/Diving Accident (L1)","3","9","2006"
"Fire","SAN DIEGO","Electrical Short","11","9","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L3)","3","9","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L1)","410","9","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L4)","14","9","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L3)","1","9","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L3)","26","9","2006"
"Fire","SAN DIEGO","Lock in/out","34","9","2006"
"Fire","SAN DIEGO","Medical Alert Alarm","26","9","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L3)","2","9","2006"
"Fire","SAN DIEGO","Odor of Chemical","3","9","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L1)","43","9","2006"
"Fire","SAN DIEGO","Rubbish Fire","66","9","2006"
"Fire","SAN DIEGO","Shed/Outbuilding","2","9","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L2)","1","9","2006"
"Fire","SAN DIEGO","Special Response Team","1","9","2006"
"Fire","SAN DIEGO","Structure Fire - Comm / Apt","47","9","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L1)","118","9","2006"
"Fire","SAN DIEGO","Vegetation Fire High","1","9","2006"
"Fire","SAN DIEGO","Vehicle vs Structure","1","9","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L1)","31","10","2006"
"Fire","SAN DIEGO","AID - ENGINE","2","10","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L3)","14","10","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L1)","6","10","2006"
"Fire","SAN DIEGO","Assist PD - Ladder Bldg","4","10","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L4)","77","10","2006"
"Fire","SAN DIEGO","Burns / Explosion (L1)","11","10","2006"
"Fire","SAN DIEGO","C O / Inhalation/ Haz Mat (L4)","1","10","2006"
"Fire","SAN DIEGO","Cardiac / Respiratory Arrest","129","10","2006"
"Fire","SAN DIEGO","Chest Pain (L1)","587","10","2006"
"Fire","SAN DIEGO","Chest Pain (L3)","12","10","2006"
"Fire","SAN DIEGO","Diabetic Problems (L1)","155","10","2006"
"Fire","SAN DIEGO","EDT/XRAY","11","10","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L3)","96","10","2006"
"Fire","SAN DIEGO","Fuel Spill","30","10","2006"
"Fire","SAN DIEGO","HazMat","2","10","2006"
"Fire","SAN DIEGO","HazMat Single  Engine","29","10","2006"
"Fire","SAN DIEGO","Headache (L3)","4","10","2006"
"Fire","SAN DIEGO","Headache (L4)","8","10","2006"
"Fire","SAN DIEGO","Heart Problems (L1)","129","10","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L4)","2","10","2006"
"Fire","SAN DIEGO","Odor of Smoke","12","10","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L1)","59","10","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L3)","4","10","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L4)","61","10","2006"
"Fire","SAN DIEGO","Ringing Alarm","394","10","2006"
"Fire","SAN DIEGO","Special Service","14","10","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L3)","2","10","2006"
"Fire","SAN DIEGO","Structure Residential","42","10","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L4)","13","10","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L3)","3","10","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L4)","3","10","2006"
"Fire","SAN DIEGO","Vegetation Fire Medium","4","10","2006"
"Fire","SAN DIEGO","Alert 2 - Brown/Mont","1","10","2006"
"Fire","SAN DIEGO","Alert 2 Lindbergh","1","10","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L3)","3","10","2006"
"Fire","SAN DIEGO","Assault/Rape (L4)","3","10","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L1)","5","10","2006"
"Fire","SAN DIEGO","Burns / Explosion (L4)","2","10","2006"
"Fire","SAN DIEGO","Choking (L1)","30","10","2006"
"Fire","SAN DIEGO","CSA Medical Aid","15","10","2006"
"Fire","SAN DIEGO","Electrical Short","13","10","2006"
"Fire","SAN DIEGO","Electrocution (L1)","1","10","2006"
"Fire","SAN DIEGO","Elevator Rescue","38","10","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L1)","1","10","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L4)","18","10","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L1)","2","10","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L1)","207","10","2006"
"Fire","SAN DIEGO","Investigate","4","10","2006"
"Fire","SAN DIEGO","Medical Aid","57","10","2006"
"Fire","SAN DIEGO","Miscellaneous Rescue","5","10","2006"
"Fire","SAN DIEGO","Noxious Odor","14","10","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L1)","258","10","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L4)","2","10","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (PD)","8","10","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L4)","259","10","2006"
"Fire","SAN DIEGO","Smoke Check","57","10","2006"
"Fire","SAN DIEGO","Special Response Team","2","10","2006"
"Fire","SAN DIEGO","Strike Team Type 3","1","10","2006"
"Fire","SAN DIEGO","Stroke (Cva) (L1)","188","10","2006"
"Fire","SAN DIEGO","Structure Highrise/Hospital","9","10","2006"
"Fire","SAN DIEGO","Traffic Accident (L1)","714","10","2006"
"Fire","SAN DIEGO","Transformer","4","10","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L3)","83","10","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L2)","1","10","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L3)","82","10","2006"
"Fire","SAN DIEGO","Vegetation Fire","41","10","2006"
"Fire","SAN DIEGO","Vegetation Fire Low","3","10","2006"
"Fire","SAN DIEGO","Vehicle Fire Freeway","58","10","2006"
"Fire","SAN DIEGO","Water Removal/Flooding","5","10","2006"
"Fire","SAN DIEGO","Water Rescue","1","10","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L3)","177","10","2006"
"Fire","SAN DIEGO","AID - MEDIC","14","10","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L4)","1","10","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L4)","4","10","2006"
"Fire","SAN DIEGO","Assault/Rape (L1)","199","10","2006"
"Fire","SAN DIEGO","Breathing Problems (L1)","827","10","2006"
"Fire","SAN DIEGO","C O / Inhalation/ Haz Mat (L1)","2","10","2006"
"Fire","SAN DIEGO","Chest Pain (L2)","1","10","2006"
"Fire","SAN DIEGO","Choking (L3)","10","10","2006"
"Fire","SAN DIEGO","Diabetic Problems (L3)","29","10","2006"
"Fire","SAN DIEGO","Drowning/Diving Accident (L1)","6","10","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L3)","14","10","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L1)","568","10","2006"
"Fire","SAN DIEGO","Heart Problems (L3)","10","10","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L3)","32","10","2006"
"Fire","SAN DIEGO","Medical Alert Alarm","38","10","2006"
"Fire","SAN DIEGO","Natural Gas Leak Lg Diam/Fire","7","10","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L3)","3","10","2006"
"Fire","SAN DIEGO","Oven Fire","11","10","2006"
"Fire","SAN DIEGO","POISON CONTROL","2","10","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L1)","55","10","2006"
"Fire","SAN DIEGO","Ringing Alarm Highrise","164","10","2006"
"Fire","SAN DIEGO","Rubbish Fire","79","10","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L1)","55","10","2006"
"Fire","SAN DIEGO","Still alarm","69","10","2006"
"Fire","SAN DIEGO","Stroke (Cva) (L3)","1","10","2006"
"Fire","SAN DIEGO","Structure Fire - Comm / Apt","64","10","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L1)","176","10","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L1)","710","10","2006"
"Fire","SAN DIEGO","Vegetation Fire High","1","10","2006"
"Fire","SAN DIEGO","Vehicle Rescue","21","10","2006"
"Fire","SAN DIEGO","Vehicle vs Structure","8","10","2006"
"Fire","SAN DIEGO","Wires down","6","10","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L1)","65","10","2006"
"Fire","SAN DIEGO","Assault/Rape (L3)","23","10","2006"
"Fire","SAN DIEGO","Assist PD","2","10","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L3)","10","10","2006"
"Fire","SAN DIEGO","Carbon Monoxide Alarm","10","10","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L1)","319","10","2006"
"Fire","SAN DIEGO","Fence","4","10","2006"
"Fire","SAN DIEGO","Headache (L1)","38","10","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L3)","2","10","2006"
"Fire","SAN DIEGO","Lift Assist","43","10","2006"
"Fire","SAN DIEGO","Lock in/out","40","10","2006"
"Fire","SAN DIEGO","Natural Gas Leak/Odor","30","10","2006"
"Fire","SAN DIEGO","Odor of Chemical","5","10","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L3)","11","10","2006"
"Fire","SAN DIEGO","Shed/Outbuilding","1","10","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L1)","188","10","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L3)","68","10","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L2)","5","10","2006"
"Fire","SAN DIEGO","Tree","4","10","2006"
"Fire","SAN DIEGO","Unattended Food lock out/in","2","10","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L4)","1","10","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L1)","156","10","2006"
"Fire","SAN DIEGO","Vehicle Fire","67","10","2006"
"Fire","SAN DIEGO","Vehicle Fire 1st Alarm","1","10","2006"
"Fire","SAN DIEGO","Alert 2 - Brown/Mont","5","11","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L4)","5","11","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L1)","3","11","2006"
"Fire","SAN DIEGO","Assault/Rape (L1)","174","11","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L1)","8","11","2006"
"Fire","SAN DIEGO","Breathing Problems (L1)","820","11","2006"
"Fire","SAN DIEGO","Choking (L3)","16","11","2006"
"Fire","SAN DIEGO","Drowning/Diving Accident (L1)","3","11","2006"
"Fire","SAN DIEGO","Electrocution (L1)","2","11","2006"
"Fire","SAN DIEGO","Elevator Rescue","21","11","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L1)","572","11","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L3)","71","11","2006"
"Fire","SAN DIEGO","Fuel Spill","35","11","2006"
"Fire","SAN DIEGO","Headache (L4)","9","11","2006"
"Fire","SAN DIEGO","Heart Problems (L1)","134","11","2006"
"Fire","SAN DIEGO","Heart Problems (L3)","1","11","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L3)","37","11","2006"
"Fire","SAN DIEGO","Medical Alert Alarm","21","11","2006"
"Fire","SAN DIEGO","Medical Multi Casualty","1","11","2006"
"Fire","SAN DIEGO","Miscellaneous Rescue","3","11","2006"
"Fire","SAN DIEGO","Odor of Smoke","14","11","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L1)","67","11","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L3)","6","11","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L4)","59","11","2006"
"Fire","SAN DIEGO","Rubbish Fire","82","11","2006"
"Fire","SAN DIEGO","Smoke Check","57","11","2006"
"Fire","SAN DIEGO","Special Response Team","1","11","2006"
"Fire","SAN DIEGO","Special Service","15","11","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L3)","3","11","2006"
"Fire","SAN DIEGO","Still alarm","63","11","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L3)","76","11","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L1)","696","11","2006"
"Fire","SAN DIEGO","Wires down","1","11","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L1)","39","11","2006"
"Fire","SAN DIEGO","AID - COPTR","1","11","2006"
"Fire","SAN DIEGO","AID - ENGINE","2","11","2006"
"Fire","SAN DIEGO","AID - HAZMAT","1","11","2006"
"Fire","SAN DIEGO","Alert 2 Lindbergh","2","11","2006"
"Fire","SAN DIEGO","Alert 3 Brown/Mont","2","11","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L3)","9","11","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L3)","2","11","2006"
"Fire","SAN DIEGO","Assault/Rape (L3)","15","11","2006"
"Fire","SAN DIEGO","Assault/Rape (L4)","5","11","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L3)","13","11","2006"
"Fire","SAN DIEGO","Burns / Explosion (L1)","6","11","2006"
"Fire","SAN DIEGO","Burns / Explosion (L4)","2","11","2006"
"Fire","SAN DIEGO","Chest Pain (L1)","594","11","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L1)","314","11","2006"
"Fire","SAN DIEGO","EDT/XRAY","3","11","2006"
"Fire","SAN DIEGO","Electrical Short","11","11","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L4)","2","11","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L4)","20","11","2006"
"Fire","SAN DIEGO","Headache (L3)","3","11","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L4)","1","11","2006"
"Fire","SAN DIEGO","Noxious Odor","15","11","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L1)","197","11","2006"
"Fire","SAN DIEGO","Odor of Chemical","5","11","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (L1)","41","11","2006"
"Fire","SAN DIEGO","Ringing Alarm","365","11","2006"
"Fire","SAN DIEGO","Strike Team Type 3","1","11","2006"
"Fire","SAN DIEGO","Structure Highrise/Hospital","7","11","2006"
"Fire","SAN DIEGO","Structure Residential","41","11","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L3)","81","11","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L3)","3","11","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L4)","2","11","2006"
"Fire","SAN DIEGO","Vegetation Fire","34","11","2006"
"Fire","SAN DIEGO","Vegetation Fire Medium","4","11","2006"
"Fire","SAN DIEGO","Vehicle Fire","67","11","2006"
"Fire","SAN DIEGO","Water Removal/Flooding","1","11","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L3)","216","11","2006"
"Fire","SAN DIEGO","Assist PD","3","11","2006"
"Fire","SAN DIEGO","Assist PD - Ladder Bldg","6","11","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L4)","52","11","2006"
"Fire","SAN DIEGO","Cardiac / Respiratory Arrest","112","11","2006"
"Fire","SAN DIEGO","Chest Pain (L3)","16","11","2006"
"Fire","SAN DIEGO","Diabetic Problems (L1)","174","11","2006"
"Fire","SAN DIEGO","Diabetic Problems (L3)","30","11","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L3)","9","11","2006"
"Fire","SAN DIEGO","HazMat Single  Engine","32","11","2006"
"Fire","SAN DIEGO","Headache (L1)","37","11","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L3)","1","11","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L2)","1","11","2006"
"Fire","SAN DIEGO","Lock in/out","39","11","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L3)","4","11","2006"
"Fire","SAN DIEGO","Ringing Alarm Highrise","126","11","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L1)","224","11","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L2)","1","11","2006"
"Fire","SAN DIEGO","Structure Fire - Comm / Apt","60","11","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L1)","182","11","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L4)","15","11","2006"
"Fire","SAN DIEGO","Tree","1","11","2006"
"Fire","SAN DIEGO","Unattended Food lock out/in","1","11","2006"
"Fire","SAN DIEGO","Unknown Problem (Man Down)(L1)","159","11","2006"
"Fire","SAN DIEGO","Vehicle vs Structure","3","11","2006"
"Fire","SAN DIEGO","AID - MEDIC","18","11","2006"
"Fire","SAN DIEGO","Allergy/Hives/Med Rx/Stng (L1)","81","11","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L4)","1","11","2006"
"Fire","SAN DIEGO","Boat Fire 1st Alm","4","11","2006"
"Fire","SAN DIEGO","Carbon Monoxide Alarm","8","11","2006"
"Fire","SAN DIEGO","Chest Pain (L2)","1","11","2006"
"Fire","SAN DIEGO","Choking (L1)","24","11","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L3)","1","11","2006"
"Fire","SAN DIEGO","CSA Medical Aid","16","11","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L1)","2","11","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L1)","1","11","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L1)","212","11","2006"
"Fire","SAN DIEGO","Investigate","6","11","2006"
"Fire","SAN DIEGO","Lift Assist","52","11","2006"
"Fire","SAN DIEGO","Medical Aid","60","11","2006"
"Fire","SAN DIEGO","Natural Gas Leak Lg Diam/Fire","6","11","2006"
"Fire","SAN DIEGO","Natural Gas Leak/Odor","39","11","2006"
"Fire","SAN DIEGO","Oven Fire","15","11","2006"
"Fire","SAN DIEGO","POISON CONTROL","1","11","2006"
"Fire","SAN DIEGO","Preg/Birth/Miscarriage (L3)","8","11","2006"
"Fire","SAN DIEGO","Psych / Suicide Attempt (PD)","5","11","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L3)","79","11","2006"
"Fire","SAN DIEGO","Sick Person (Specific Dx)(L4)","230","11","2006"
"Fire","SAN DIEGO","Stabbing/Gunshot (L1)","51","11","2006"
"Fire","SAN DIEGO","Stroke (Cva) (L1)","187","11","2006"
"Fire","SAN DIEGO","Traffic Accident (L1)","699","11","2006"
"Fire","SAN DIEGO","Transformer","6","11","2006"
"Fire","SAN DIEGO","Vegetation Fire Low","2","11","2006"
"Fire","SAN DIEGO","Vehicle Fire 1st Alarm","3","11","2006"
"Fire","SAN DIEGO","Vehicle Fire Freeway","47","11","2006"
"Fire","SAN DIEGO","Vehicle Rescue","32","11","2006"
"Fire","SAN DIEGO","Water Rescue","2","11","2006"
"Fire","SAN DIEGO","Abdominal Pain/Problems (L3)","216","12","2006"
"Fire","SAN DIEGO","AID - COPTR","2","12","2006"
"Fire","SAN DIEGO","Alert 2 - Brown/Mont","1","12","2006"
"Fire","SAN DIEGO","Alert 2 Lindbergh","2","12","2006"
"Fire","SAN DIEGO","Animal Bites/ Attacks (L3)","1","12","2006"
"Fire","SAN DIEGO","Assault/Rape (L3)","14","12","2006"
"Fire","SAN DIEGO","Assist PD","5","12","2006"
"Fire","SAN DIEGO","Convulsions / Seizures (L1)","344","12","2006"
"Fire","SAN DIEGO","Diabetic Problems (L3)","26","12","2006"
"Fire","SAN DIEGO","Electrical Short","19","12","2006"
"Fire","SAN DIEGO","Eye Problems / Injuries (L3)","8","12","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L1)","596","12","2006"
"Fire","SAN DIEGO","Falls / Back Inj (Trauma) (L4)","29","12","2006"
"Fire","SAN DIEGO","Headache (L1)","26","12","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L3)","37","12","2006"
"Fire","SAN DIEGO","Lock in/out","32","12","2006"
"Fire","SAN DIEGO","Medical Alert Alarm","29","12","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L3)","7","12","2006"
